Volatility 3 Framework 2.26.2

PID	Process	Block	Variable	Value

860	lsass.exe	0x20f141049c0	ALLUSERSPROFILE	C:\ProgramData
860	lsass.exe	0x20f141049c0	CommonProgramFiles	C:\Program Files\Common Files
860	lsass.exe	0x20f141049c0	CommonProgramFiles(x86)	C:\Program Files (x86)\Common Files
860	lsass.exe	0x20f141049c0	CommonProgramW6432	C:\Program Files\Common Files
860	lsass.exe	0x20f141049c0	COMPUTERNAME	WINDOWS
860	lsass.exe	0x20f141049c0	ComSpec	C:\WINDOWS\system32\cmd.exe
860	lsass.exe	0x20f141049c0	DriverData	C:\Windows\System32\Drivers\DriverData
860	lsass.exe	0x20f141049c0	NUMBER_OF_PROCESSORS	2
860	lsass.exe	0x20f141049c0	OS	Windows_NT
860	lsass.exe	0x20f141049c0	Path	C:\WINDOWS\System32
860	lsass.exe	0x20f141049c0	PATHEXT	.COM;.EXE;.BAT;.CMD;.VBS;.VBE;.JS;.JSE;.WSF;.WSH;.MSC
860	lsass.exe	0x20f141049c0	PROCESSOR_ARCHITECTURE	AMD64
860	lsass.exe	0x20f141049c0	PROCESSOR_IDENTIFIER	Intel64 Family 6 Model 170 Stepping 4, GenuineIntel
860	lsass.exe	0x20f141049c0	PROCESSOR_LEVEL	6
860	lsass.exe	0x20f141049c0	PROCESSOR_REVISION	aa04
860	lsass.exe	0x20f141049c0	ProgramData	C:\ProgramData
860	lsass.exe	0x20f141049c0	ProgramFiles	C:\Program Files
860	lsass.exe	0x20f141049c0	ProgramFiles(x86)	C:\Program Files (x86)
860	lsass.exe	0x20f141049c0	ProgramW6432	C:\Program Files
860	lsass.exe	0x20f141049c0	PSModulePath	%ProgramFiles%\WindowsPowerShell\Modules;C:\WINDOWS\system32\WindowsPowerShell\v1.0\Modules
860	lsass.exe	0x20f141049c0	PUBLIC	C:\Users\Public
860	lsass.exe	0x20f141049c0	SystemDrive	C:
860	lsass.exe	0x20f141049c0	SystemRoot	C:\WINDOWS
860	lsass.exe	0x20f141049c0	TEMP	C:\WINDOWS\TEMP
860	lsass.exe	0x20f141049c0	TMP	C:\WINDOWS\TEMP
860	lsass.exe	0x20f141049c0	USERNAME	SYSTEM
860	lsass.exe	0x20f141049c0	USERPROFILE	C:\WINDOWS\system32\config\systemprofile
860	lsass.exe	0x20f141049c0	windir	C:\WINDOWS
860	lsass.exe	0x20f141049c0	TMP	C:\WINDOWS\TEMP
860	lsass.exe	0x20f141049c0	USERNAME	SYSTEM
860	lsass.exe	0x20f141049c0	USERPROFILE	C:\WINDOWS\system32\config\systemprofile
860	lsass.exe	0x20f141049c0	windir	C:\WINDOWS
976	svchost.exe	0x1a480104b90	ALLUSERSPROFILE	C:\ProgramData
976	svchost.exe	0x1a480104b90	APPDATA	C:\WINDOWS\system32\config\systemprofile\AppData\Roaming
976	svchost.exe	0x1a480104b90	CommonProgramFiles	C:\Program Files\Common Files
976	svchost.exe	0x1a480104b90	CommonProgramFiles(x86)	C:\Program Files (x86)\Common Files
976	svchost.exe	0x1a480104b90	CommonProgramW6432	C:\Program Files\Common Files
976	svchost.exe	0x1a480104b90	COMPUTERNAME	WINDOWS
976	svchost.exe	0x1a480104b90	ComSpec	C:\WINDOWS\system32\cmd.exe
976	svchost.exe	0x1a480104b90	DriverData	C:\Windows\System32\Drivers\DriverData
976	svchost.exe	0x1a480104b90	LOCALAPPDATA	C:\WINDOWS\system32\config\systemprofile\AppData\Local
976	svchost.exe	0x1a480104b90	NUMBER_OF_PROCESSORS	2
976	svchost.exe	0x1a480104b90	OS	Windows_NT
976	svchost.exe	0x1a480104b90	Path	C:\WINDOWS\system32;C:\WINDOWS;C:\WINDOWS\System32\Wbem;C:\WINDOWS\System32\WindowsPowerShell\v1.0\;C:\WINDOWS\System32\OpenSSH\;C:\WINDOWS\system32\config\systemprofile\AppData\Local\Microsoft\WindowsApps
976	svchost.exe	0x1a480104b90	PATHEXT	.COM;.EXE;.BAT;.CMD;.VBS;.VBE;.JS;.JSE;.WSF;.WSH;.MSC
976	svchost.exe	0x1a480104b90	PROCESSOR_ARCHITECTURE	AMD64
976	svchost.exe	0x1a480104b90	PROCESSOR_IDENTIFIER	Intel64 Family 6 Model 170 Stepping 4, GenuineIntel
976	svchost.exe	0x1a480104b90	PROCESSOR_LEVEL	6
976	svchost.exe	0x1a480104b90	PROCESSOR_REVISION	aa04
